         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0  0.00000e+000 -9.49718e-002  2.74775e+002  2.75000e+002
             1  1.00000e-004 -9.50248e-002  2.74773e+002  2.74950e+002
             2  2.00000e-004 -9.52680e-002  2.74769e+002  2.74900e+002
             3  3.00000e-004 -9.58160e-002  2.74768e+002  2.74850e+002
             4  4.00000e-004 -9.65472e-002  2.74762e+002  2.74800e+002
             5  5.00000e-004 -9.70308e-002  2.74756e+002  2.74750e+002
             6  6.00000e-004 -9.69987e-002  2.74740e+002  2.74700e+002
             7  7.00000e-004 -9.62786e-002  2.74720e+002  2.74650e+002
             8  8.00000e-004 -9.50597e-002  2.74699e+002  2.74600e+002
             9  9.00000e-004 -9.35467e-002  2.74670e+002  2.74550e+002
            10  1.00000e-003 -9.19096e-002  2.74643e+002  2.74500e+002
            11  1.10000e-003 -9.02166e-002  2.74613e+002  2.74450e+002
            12  1.20000e-003 -8.84194e-002  2.74581e+002  2.74400e+002
            13  1.30000e-003 -8.64234e-002  2.74551e+002  2.74350e+002
            14  1.40000e-003 -8.41488e-002  2.74516e+002  2.74300e+002
            15  1.50000e-003 -8.15973e-002  2.74479e+002  2.74250e+002
            16  1.60000e-003 -7.88974e-002  2.74440e+002  2.74200e+002
            17  1.70000e-003 -7.60164e-002  2.74400e+002  2.74150e+002
            18  1.80000e-003 -7.31596e-002  2.74360e+002  2.74100e+002
            19  1.90000e-003 -7.03135e-002  2.74320e+002  2.74050e+002
            20  2.00000e-003 -6.74109e-002  2.74276e+002  2.74000e+002
            21  2.10000e-003 -6.44511e-002  2.74234e+002  2.73950e+002
            22  2.20000e-003 -6.14402e-002  2.74191e+002  2.73900e+002
            23  2.30000e-003 -5.84453e-002  2.74148e+002  2.73850e+002
            24  2.40000e-003 -5.55259e-002  2.74102e+002  2.73800e+002
            25  2.50000e-003 -5.26154e-002  2.74056e+002  2.73750e+002
            26  2.60000e-003 -4.98354e-002  2.74010e+002  2.73700e+002
            27  2.70000e-003 -4.70892e-002  2.73967e+002  2.73650e+002
            28  2.80000e-003 -4.44047e-002  2.73918e+002  2.73600e+002
            29  2.90000e-003 -4.17427e-002  2.73869e+002  2.73550e+002
            30  3.00000e-003 -3.91257e-002  2.73823e+002  2.73500e+002
            31  3.10000e-003 -3.66056e-002  2.73776e+002  2.73450e+002
            32  3.20000e-003 -3.41409e-002  2.73725e+002  2.73400e+002
            33  3.30000e-003 -3.17708e-002  2.73680e+002  2.73350e+002
            34  3.40000e-003 -2.94261e-002  2.73631e+002  2.73300e+002
            35  3.50000e-003 -2.71548e-002  2.73585e+002  2.73250e+002
            36  3.60000e-003 -2.49462e-002  2.73539e+002  2.73200e+002
            37  3.70000e-003 -2.27573e-002  2.73487e+002  2.73150e+002
            38  3.80000e-003 -2.06687e-002  2.73441e+002  2.73100e+002
            39  3.90000e-003 -1.87071e-002  2.73390e+002  2.73050e+002
            40  4.00000e-003 -1.68264e-002  2.73339e+002  2.73000e+002
            41  4.10000e-003 -1.50593e-002  2.73292e+002  2.72950e+002
            42  4.20000e-003 -1.33417e-002  2.73243e+002  2.72900e+002
            43  4.30000e-003 -1.16703e-002  2.73197e+002  2.72850e+002
            44  4.40000e-003 -1.00043e-002  2.73143e+002  2.72800e+002
            45  4.50000e-003 -8.37737e-003  2.73095e+002  2.72750e+002
            46  4.60000e-003 -6.74227e-003  2.73045e+002  2.72700e+002
            47  4.70000e-003 -5.11123e-003  2.72996e+002  2.72650e+002
            48  4.80000e-003 -3.49319e-003  2.72948e+002  2.72600e+002
            49  4.90000e-003 -1.85280e-003  2.72896e+002  2.72550e+002
            50  5.00000e-003 -1.45229e-004  2.72847e+002  2.72500e+002
            51  5.10000e-003  1.59833e-003  2.72801e+002  2.72450e+002
            52  5.20000e-003  3.38319e-003  2.72747e+002  2.72400e+002
            53  5.30000e-003  5.20713e-003  2.72699e+002  2.72350e+002
            54  5.40000e-003  7.08002e-003  2.72645e+002  2.72300e+002
            55  5.50000e-003  9.02745e-003  2.72599e+002  2.72250e+002
            56  5.60000e-003  1.09949e-002  2.72550e+002  2.72200e+002
            57  5.70000e-003  1.30077e-002  2.72498e+002  2.72150e+002
            58  5.80000e-003  1.50400e-002  2.72450e+002  2.72100e+002
            59  5.90000e-003  1.70786e-002  2.72401e+002  2.72050e+002
            60  6.00000e-003  1.91555e-002  2.72348e+002  2.72000e+002
            61  6.10000e-003  2.12440e-002  2.72301e+002  2.71950e+002
            62  6.20000e-003  2.33359e-002  2.72249e+002  2.71900e+002
            63  6.30000e-003  2.54564e-002  2.72200e+002  2.71850e+002
            64  6.40000e-003  2.75683e-002  2.72150e+002  2.71800e+002
            65  6.50000e-003  2.96998e-002  2.72100e+002  2.71750e+002
            66  6.60000e-003  3.18609e-002  2.72050e+002  2.71700e+002
            67  6.70000e-003  3.40181e-002  2.71997e+002  2.71650e+002
            68  6.80000e-003  3.61379e-002  2.71951e+002  2.71600e+002
            69  6.90000e-003  3.82665e-002  2.71902e+002  2.71550e+002
            70  7.00000e-003  4.03725e-002  2.71852e+002  2.71500e+002
            71  7.10000e-003  4.24654e-002  2.71801e+002  2.71450e+002
