         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0  0.00000e+000 -9.51749e-002  2.74754e+002  2.75000e+002
             1  1.00000e-004 -9.51830e-002  2.74754e+002  2.74950e+002
             2  2.00000e-004 -9.54167e-002  2.74751e+002  2.74900e+002
             3  3.00000e-004 -9.59966e-002  2.74750e+002  2.74850e+002
             4  4.00000e-004 -9.67223e-002  2.74748e+002  2.74800e+002
             5  5.00000e-004 -9.71559e-002  2.74734e+002  2.74750e+002
             6  6.00000e-004 -9.70344e-002  2.74725e+002  2.74700e+002
             7  7.00000e-004 -9.62954e-002  2.74702e+002  2.74650e+002
             8  8.00000e-004 -9.50370e-002  2.74678e+002  2.74600e+002
             9  9.00000e-004 -9.35176e-002  2.74654e+002  2.74550e+002
            10  1.00000e-003 -9.18076e-002  2.74623e+002  2.74500e+002
            11  1.10000e-003 -9.01166e-002  2.74594e+002  2.74450e+002
            12  1.20000e-003 -8.82754e-002  2.74564e+002  2.74400e+002
            13  1.30000e-003 -8.62269e-002  2.74531e+002  2.74350e+002
            14  1.40000e-003 -8.38775e-002  2.74497e+002  2.74300e+002
            15  1.50000e-003 -8.12321e-002  2.74459e+002  2.74250e+002
            16  1.60000e-003 -7.84157e-002  2.74423e+002  2.74200e+002
            17  1.70000e-003 -7.54659e-002  2.74380e+002  2.74150e+002
            18  1.80000e-003 -7.24976e-002  2.74343e+002  2.74100e+002
            19  1.90000e-003 -6.95489e-002  2.74299e+002  2.74050e+002
            20  2.00000e-003 -6.66684e-002  2.74260e+002  2.74000e+002
            21  2.10000e-003 -6.37937e-002  2.74215e+002  2.73950e+002
            22  2.20000e-003 -6.09678e-002  2.74171e+002  2.73900e+002
            23  2.30000e-003 -5.81402e-002  2.74132e+002  2.73850e+002
            24  2.40000e-003 -5.53339e-002  2.74084e+002  2.73800e+002
            25  2.50000e-003 -5.25455e-002  2.74039e+002  2.73750e+002
            26  2.60000e-003 -4.98017e-002  2.73990e+002  2.73700e+002
            27  2.70000e-003 -4.71036e-002  2.73946e+002  2.73650e+002
            28  2.80000e-003 -4.44340e-002  2.73897e+002  2.73600e+002
            29  2.90000e-003 -4.18062e-002  2.73852e+002  2.73550e+002
            30  3.00000e-003 -3.91772e-002  2.73806e+002  2.73500e+002
            31  3.10000e-003 -3.66215e-002  2.73758e+002  2.73450e+002
            32  3.20000e-003 -3.40985e-002  2.73707e+002  2.73400e+002
            33  3.30000e-003 -3.16684e-002  2.73661e+002  2.73350e+002
            34  3.40000e-003 -2.93087e-002  2.73613e+002  2.73300e+002
            35  3.50000e-003 -2.70005e-002  2.73563e+002  2.73250e+002
            36  3.60000e-003 -2.47331e-002  2.73519e+002  2.73200e+002
            37  3.70000e-003 -2.25375e-002  2.73470e+002  2.73150e+002
            38  3.80000e-003 -2.04660e-002  2.73419e+002  2.73100e+002
            39  3.90000e-003 -1.85288e-002  2.73371e+002  2.73050e+002
            40  4.00000e-003 -1.67047e-002  2.73322e+002  2.73000e+002
            41  4.10000e-003 -1.49609e-002  2.73274e+002  2.72950e+002
            42  4.20000e-003 -1.33022e-002  2.73223e+002  2.72900e+002
            43  4.30000e-003 -1.16483e-002  2.73173e+002  2.72850e+002
            44  4.40000e-003 -1.00736e-002  2.73126e+002  2.72800e+002
