         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0  0.00000e+000 -9.50425e-002  2.74790e+002  2.75000e+002
             1  1.00000e-004 -9.50632e-002  2.74790e+002  2.74950e+002
             2  2.00000e-004 -9.52336e-002  2.74789e+002  2.74900e+002
             3  3.00000e-004 -9.56999e-002  2.74787e+002  2.74850e+002
             4  4.00000e-004 -9.62740e-002  2.74779e+002  2.74800e+002
             5  5.00000e-004 -9.66705e-002  2.74773e+002  2.74750e+002
             6  6.00000e-004 -9.65539e-002  2.74758e+002  2.74700e+002
             7  7.00000e-004 -9.58105e-002  2.74738e+002  2.74650e+002
             8  8.00000e-004 -9.45626e-002  2.74716e+002  2.74600e+002
             9  9.00000e-004 -9.30329e-002  2.74688e+002  2.74550e+002
            10  1.00000e-003 -9.14041e-002  2.74661e+002  2.74500e+002
            11  1.10000e-003 -8.96455e-002  2.74631e+002  2.74450e+002
            12  1.20000e-003 -8.77908e-002  2.74600e+002  2.74400e+002
            13  1.30000e-003 -8.57463e-002  2.74569e+002  2.74350e+002
            14  1.40000e-003 -8.35144e-002  2.74533e+002  2.74300e+002
            15  1.50000e-003 -8.09898e-002  2.74497e+002  2.74250e+002
            16  1.60000e-003 -7.82940e-002  2.74460e+002  2.74200e+002
            17  1.70000e-003 -7.54896e-002  2.74419e+002  2.74150e+002
            18  1.80000e-003 -7.26331e-002  2.74380e+002  2.74100e+002
            19  1.90000e-003 -6.97700e-002  2.74335e+002  2.74050e+002
            20  2.00000e-003 -6.69439e-002  2.74293e+002  2.74000e+002
            21  2.10000e-003 -6.40814e-002  2.74254e+002  2.73950e+002
            22  2.20000e-003 -6.12283e-002  2.74208e+002  2.73900e+002
            23  2.30000e-003 -5.83440e-002  2.74166e+002  2.73850e+002
            24  2.40000e-003 -5.54875e-002  2.74119e+002  2.73800e+002
            25  2.50000e-003 -5.26831e-002  2.74075e+002  2.73750e+002
            26  2.60000e-003 -4.98777e-002  2.74028e+002  2.73700e+002
            27  2.70000e-003 -4.71756e-002  2.73981e+002  2.73650e+002
            28  2.80000e-003 -4.45232e-002  2.73936e+002  2.73600e+002
            29  2.90000e-003 -4.19263e-002  2.73891e+002  2.73550e+002
            30  3.00000e-003 -3.93172e-002  2.73842e+002  2.73500e+002
            31  3.10000e-003 -3.67851e-002  2.73795e+002  2.73450e+002
            32  3.20000e-003 -3.42925e-002  2.73746e+002  2.73400e+002
            33  3.30000e-003 -3.18439e-002  2.73701e+002  2.73350e+002
            34  3.40000e-003 -2.94791e-002  2.73650e+002  2.73300e+002
            35  3.50000e-003 -2.71859e-002  2.73603e+002  2.73250e+002
            36  3.60000e-003 -2.49724e-002  2.73558e+002  2.73200e+002
            37  3.70000e-003 -2.27821e-002  2.73506e+002  2.73150e+002
            38  3.80000e-003 -2.06979e-002  2.73458e+002  2.73100e+002
            39  3.90000e-003 -1.87524e-002  2.73407e+002  2.73050e+002
            40  4.00000e-003 -1.69078e-002  2.73361e+002  2.73000e+002
            41  4.10000e-003 -1.51572e-002  2.73308e+002  2.72950e+002
            42  4.20000e-003 -1.34820e-002  2.73260e+002  2.72900e+002
            43  4.30000e-003 -1.18480e-002  2.73212e+002  2.72850e+002
            44  4.40000e-003 -1.02429e-002  2.73163e+002  2.72800e+002
            45  4.50000e-003 -8.65319e-003  2.73112e+002  2.72750e+002
            46  4.60000e-003 -7.07658e-003  2.73064e+002  2.72700e+002
            47  4.70000e-003 -5.47999e-003  2.73012e+002  2.72650e+002
            48  4.80000e-003 -3.86433e-003  2.72966e+002  2.72600e+002
            49  4.90000e-003 -2.21667e-003  2.72914e+002  2.72550e+002
            50  5.00000e-003 -5.11080e-004  2.72866e+002  2.72500e+002
            51  5.10000e-003  1.21931e-003  2.72816e+002  2.72450e+002
            52  5.20000e-003  3.00885e-003  2.72765e+002  2.72400e+002
            53  5.30000e-003  4.83897e-003  2.72718e+002  2.72350e+002
            54  5.40000e-003  6.70111e-003  2.72667e+002  2.72300e+002
            55  5.50000e-003  8.61789e-003  2.72614e+002  2.72250e+002
            56  5.60000e-003  1.05837e-002  2.72568e+002  2.72200e+002
            57  5.70000e-003  1.25938e-002  2.72516e+002  2.72150e+002
            58  5.80000e-003  1.46656e-002  2.72469e+002  2.72100e+002
            59  5.90000e-003  1.67611e-002  2.72419e+002  2.72050e+002
            60  6.00000e-003  1.88736e-002  2.72367e+002  2.72000e+002
            61  6.10000e-003  2.10305e-002  2.72320e+002  2.71950e+002
