         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00   1.34123e-02   3.75058e+02   3.75000e+02
             1   1.00000e-04   1.34178e-02   3.75056e+02   3.74950e+02
             2   2.00000e-04   1.33339e-02   3.75054e+02   3.74900e+02
             3   3.00000e-04   1.31197e-02   3.75050e+02   3.74850e+02
             4   4.00000e-04   1.28413e-02   3.75049e+02   3.74800e+02
             5   5.00000e-04   1.26179e-02   3.75037e+02   3.74750e+02
             6   6.00000e-04   1.25800e-02   3.75020e+02   3.74700e+02
             7   7.00000e-04   1.27165e-02   3.75001e+02   3.74650e+02
             8   8.00000e-04   1.29498e-02   3.74973e+02   3.74600e+02
             9   9.00000e-04   1.31752e-02   3.74947e+02   3.74550e+02
            10   1.00000e-03   1.33584e-02   3.74919e+02   3.74500e+02
            11   1.10000e-03   1.34730e-02   3.74890e+02   3.74450e+02
            12   1.20000e-03   1.35483e-02   3.74861e+02   3.74400e+02
            13   1.30000e-03   1.36937e-02   3.74827e+02   3.74350e+02
            14   1.40000e-03   1.39959e-02   3.74794e+02   3.74300e+02
            15   1.50000e-03   1.43869e-02   3.74757e+02   3.74250e+02
            16   1.60000e-03   1.48432e-02   3.74715e+02   3.74200e+02
            17   1.70000e-03   1.53282e-02   3.74672e+02   3.74150e+02
            18   1.80000e-03   1.57864e-02   3.74634e+02   3.74100e+02
            19   1.90000e-03   1.62663e-02   3.74593e+02   3.74050e+02
            20   2.00000e-03   1.67770e-02   3.74554e+02   3.74000e+02
            21   2.10000e-03   1.73799e-02   3.74511e+02   3.73950e+02
            22   2.20000e-03   1.80449e-02   3.74469e+02   3.73900e+02
            23   2.30000e-03   1.87520e-02   3.74425e+02   3.73850e+02
            24   2.40000e-03   1.94920e-02   3.74375e+02   3.73800e+02
            25   2.50000e-03   2.02473e-02   3.74328e+02   3.73750e+02
            26   2.60000e-03   2.10234e-02   3.74284e+02   3.73700e+02
            27   2.70000e-03   2.18282e-02   3.74241e+02   3.73650e+02
            28   2.80000e-03   2.26394e-02   3.74192e+02   3.73600e+02
            29   2.90000e-03   2.34832e-02   3.74144e+02   3.73550e+02
            30   3.00000e-03   2.43821e-02   3.74098e+02   3.73500e+02
            31   3.10000e-03   2.52514e-02   3.74051e+02   3.73450e+02
            32   3.20000e-03   2.61127e-02   3.74002e+02   3.73400e+02
            33   3.30000e-03   2.69365e-02   3.73956e+02   3.73350e+02
            34   3.40000e-03   2.77359e-02   3.73907e+02   3.73300e+02
            35   3.50000e-03   2.85829e-02   3.73861e+02   3.73250e+02
            36   3.60000e-03   2.94075e-02   3.73812e+02   3.73200e+02
            37   3.70000e-03   3.02606e-02   3.73761e+02   3.73150e+02
            38   3.80000e-03   3.10937e-02   3.73713e+02   3.73100e+02
            39   3.90000e-03   3.18969e-02   3.73661e+02   3.73050e+02
            40   4.00000e-03   3.27006e-02   3.73615e+02   3.73000e+02
            41   4.10000e-03   3.34665e-02   3.73568e+02   3.72950e+02
            42   4.20000e-03   3.42078e-02   3.73516e+02   3.72900e+02
            43   4.30000e-03   3.49231e-02   3.73467e+02   3.72850e+02
            44   4.40000e-03   3.56202e-02   3.73421e+02   3.72800e+02
            45   4.50000e-03   3.63239e-02   3.73369e+02   3.72750e+02
            46   4.60000e-03   3.69814e-02   3.73322e+02   3.72700e+02
            47   4.70000e-03   3.75984e-02   3.73269e+02   3.72650e+02
            48   4.80000e-03   3.81721e-02   3.73219e+02   3.72600e+02
            49   4.90000e-03   3.87050e-02   3.73174e+02   3.72550e+02
            50   5.00000e-03   3.92473e-02   3.73120e+02   3.72500e+02
            51   5.10000e-03   3.97607e-02   3.73072e+02   3.72450e+02
            52   5.20000e-03   4.02219e-02   3.73024e+02   3.72400e+02
            53   5.30000e-03   4.06639e-02   3.72972e+02   3.72350e+02
            54   5.40000e-03   4.10584e-02   3.72924e+02   3.72300e+02
            55   5.50000e-03   4.14854e-02   3.72873e+02   3.72250e+02
