         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00   1.53758e-03   3.89835e+01   4.00000e+01
             1   1.00000e-04   1.53734e-03   3.89835e+01   4.00500e+01
             2   2.00000e-04   1.60464e-03   3.89850e+01   4.01000e+01
             3   3.00000e-04   1.75411e-03   3.89881e+01   4.01500e+01
             4   4.00000e-04   1.93470e-03   3.89912e+01   4.02000e+01
             5   5.00000e-04   2.13591e-03   3.89927e+01   4.02500e+01
             6   6.00000e-04   2.34211e-03   3.90004e+01   4.03000e+01
             7   7.00000e-04   2.46580e-03   3.90204e+01   4.03500e+01
             8   8.00000e-04   2.53458e-03   3.90296e+01   4.04000e+01
             9   9.00000e-04   2.52856e-03   3.90527e+01   4.04500e+01
            10   1.00000e-03   2.46867e-03   3.90711e+01   4.05000e+01
            11   1.10000e-03   2.36378e-03   3.90972e+01   4.05500e+01
            12   1.20000e-03   2.24940e-03   3.91264e+01   4.06000e+01
            13   1.30000e-03   2.07091e-03   3.91541e+01   4.06500e+01
            14   1.40000e-03   1.87131e-03   3.91895e+01   4.07000e+01
            15   1.50000e-03   1.64052e-03   3.92233e+01   4.07500e+01
            16   1.60000e-03   1.37758e-03   3.92555e+01   4.08000e+01
            17   1.70000e-03   1.08637e-03   3.92939e+01   4.08500e+01
            18   1.80000e-03   7.51771e-04   3.93293e+01   4.09000e+01
            19   1.90000e-03   4.10496e-04   3.93677e+01   4.09500e+01
            20   2.00000e-03   5.26961e-05   3.94153e+01   4.10000e+01
            21   2.10000e-03  -3.17370e-04   3.94475e+01   4.10500e+01
            22   2.20000e-03  -7.14678e-04   3.94875e+01   4.11000e+01
            23   2.30000e-03  -1.15519e-03   3.95335e+01   4.11500e+01
            24   2.40000e-03  -1.62999e-03   3.95765e+01   4.12000e+01
            25   2.50000e-03  -2.13529e-03   3.96241e+01   4.12500e+01
            26   2.60000e-03  -2.68269e-03   3.96640e+01   4.13000e+01
            27   2.70000e-03  -3.23671e-03   3.97100e+01   4.13500e+01
            28   2.80000e-03  -3.80933e-03   3.97638e+01   4.14000e+01
            29   2.90000e-03  -4.44042e-03   3.98036e+01   4.14500e+01
            30   3.00000e-03  -5.07001e-03   3.98512e+01   4.15000e+01
            31   3.10000e-03  -5.69271e-03   3.98957e+01   4.15500e+01
