         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00  -5.14542e-02   3.75063e+02   3.75000e+02
             1   1.00000e-04  -5.14766e-02   3.75063e+02   3.74950e+02
             2   2.00000e-04  -5.16628e-02   3.75063e+02   3.74900e+02
             3   3.00000e-04  -5.20314e-02   3.75060e+02   3.74850e+02
             4   4.00000e-04  -5.25459e-02   3.75054e+02   3.74800e+02
             5   5.00000e-04  -5.29444e-02   3.75044e+02   3.74750e+02
             6   6.00000e-04  -5.30251e-02   3.75032e+02   3.74700e+02
             7   7.00000e-04  -5.26757e-02   3.75007e+02   3.74650e+02
             8   8.00000e-04  -5.20911e-02   3.74985e+02   3.74600e+02
             9   9.00000e-04  -5.15080e-02   3.74959e+02   3.74550e+02
            10   1.00000e-03  -5.10300e-02   3.74929e+02   3.74500e+02
            11   1.10000e-03  -5.06470e-02   3.74898e+02   3.74450e+02
            12   1.20000e-03  -5.03190e-02   3.74871e+02   3.74400e+02
            13   1.30000e-03  -4.98186e-02   3.74840e+02   3.74350e+02
            14   1.40000e-03  -4.90656e-02   3.74804e+02   3.74300e+02
            15   1.50000e-03  -4.81353e-02   3.74766e+02   3.74250e+02
            16   1.60000e-03  -4.70397e-02   3.74728e+02   3.74200e+02
            17   1.70000e-03  -4.59516e-02   3.74689e+02   3.74150e+02
            18   1.80000e-03  -4.48863e-02   3.74648e+02   3.74100e+02
            19   1.90000e-03  -4.37356e-02   3.74606e+02   3.74050e+02
            20   2.00000e-03  -4.25816e-02   3.74566e+02   3.74000e+02
            21   2.10000e-03  -4.13422e-02   3.74524e+02   3.73950e+02
            22   2.20000e-03  -3.99958e-02   3.74478e+02   3.73900e+02
            23   2.30000e-03  -3.85510e-02   3.74436e+02   3.73850e+02
            24   2.40000e-03  -3.70754e-02   3.74389e+02   3.73800e+02
            25   2.50000e-03  -3.56023e-02   3.74345e+02   3.73750e+02
            26   2.60000e-03  -3.42019e-02   3.74296e+02   3.73700e+02
            27   2.70000e-03  -3.28027e-02   3.74254e+02   3.73650e+02
            28   2.80000e-03  -3.13375e-02   3.74207e+02   3.73600e+02
            29   2.90000e-03  -2.98191e-02   3.74161e+02   3.73550e+02
            30   3.00000e-03  -2.82757e-02   3.74111e+02   3.73500e+02
            31   3.10000e-03  -2.67580e-02   3.74062e+02   3.73450e+02
            32   3.20000e-03  -2.52823e-02   3.74015e+02   3.73400e+02
            33   3.30000e-03  -2.38730e-02   3.73966e+02   3.73350e+02
            34   3.40000e-03  -2.25086e-02   3.73921e+02   3.73300e+02
            35   3.50000e-03  -2.12302e-02   3.73872e+02   3.73250e+02
            36   3.60000e-03  -1.99226e-02   3.73820e+02   3.73200e+02
            37   3.70000e-03  -1.86487e-02   3.73775e+02   3.73150e+02
            38   3.80000e-03  -1.73899e-02   3.73725e+02   3.73100e+02
            39   3.90000e-03  -1.61396e-02   3.73676e+02   3.73050e+02
            40   4.00000e-03  -1.49182e-02   3.73628e+02   3.73000e+02
            41   4.10000e-03  -1.37829e-02   3.73580e+02   3.72950e+02
            42   4.20000e-03  -1.26668e-02   3.73530e+02   3.72900e+02
            43   4.30000e-03  -1.15920e-02   3.73482e+02   3.72850e+02
            44   4.40000e-03  -1.05375e-02   3.73430e+02   3.72800e+02
            45   4.50000e-03  -9.57136e-03   3.73383e+02   3.72750e+02
            46   4.60000e-03  -8.64373e-03   3.73334e+02   3.72700e+02
            47   4.70000e-03  -7.73450e-03   3.73281e+02   3.72650e+02
            48   4.80000e-03  -6.88234e-03   3.73233e+02   3.72600e+02
            49   4.90000e-03  -6.06953e-03   3.73185e+02   3.72550e+02
            50   5.00000e-03  -5.25370e-03   3.73133e+02   3.72500e+02
            51   5.10000e-03  -4.45953e-03   3.73082e+02   3.72450e+02
            52   5.20000e-03  -3.67431e-03   3.73036e+02   3.72400e+02
            53   5.30000e-03  -2.88358e-03   3.72984e+02   3.72350e+02
            54   5.40000e-03  -2.08497e-03   3.72934e+02   3.72300e+02
            55   5.50000e-03  -1.29536e-03   3.72883e+02   3.72250e+02
            56   5.60000e-03  -5.60351e-04   3.72833e+02   3.72200e+02
            57   5.70000e-03   1.54883e-04   3.72786e+02   3.72150e+02
