         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00  -1.39245e-02   3.74648e+02   3.75000e+02
             1   1.00000e-03  -1.22324e-02   3.74893e+02   3.75000e+02
             2   2.00000e-03  -7.25261e-03   3.74983e+02   3.75000e+02
             3   3.00000e-03  -1.48759e-03   3.75017e+02   3.75000e+02
             4   4.00000e-03   4.64659e-03   3.75031e+02   3.75000e+02
             5   5.00000e-03   1.05235e-02   3.75038e+02   3.75000e+02
             6   6.00000e-03   1.46477e-02   3.75041e+02   3.75000e+02
             7   7.00000e-03   1.68639e-02   3.75045e+02   3.75000e+02
             8   8.00000e-03   1.79358e-02   3.75046e+02   3.75000e+02
             9   9.00000e-03   1.77698e-02   3.75048e+02   3.75000e+02
            10   1.00000e-02   1.73471e-02   3.75049e+02   3.75000e+02
            11   1.10000e-02   1.68247e-02   3.75049e+02   3.75000e+02
            12   1.20000e-02   1.61762e-02   3.75051e+02   3.75000e+02
            13   1.30000e-02   1.56088e-02   3.75051e+02   3.75000e+02
            14   1.40000e-02   1.51013e-02   3.75051e+02   3.75000e+02
            15   1.50000e-02   1.49098e-02   3.75051e+02   3.75000e+02
            16   1.60000e-02   1.47025e-02   3.75051e+02   3.75000e+02
            17   1.70000e-02   1.45594e-02   3.75051e+02   3.75000e+02
            18   1.80000e-02   1.44331e-02   3.75052e+02   3.75000e+02
            19   1.90000e-02   1.42332e-02   3.75052e+02   3.75000e+02
            20   2.00000e-02   1.43071e-02   3.75052e+02   3.75000e+02
            21   2.10000e-02   1.41742e-02   3.75053e+02   3.75000e+02
            22   2.20000e-02   1.39877e-02   3.75052e+02   3.75000e+02
            23   2.30000e-02   1.39722e-02   3.75052e+02   3.75000e+02
            24   2.40000e-02   1.38048e-02   3.75053e+02   3.75000e+02
            25   2.50000e-02   1.36813e-02   3.75053e+02   3.75000e+02
            26   2.60000e-02   1.37121e-02   3.75053e+02   3.75000e+02
            27   2.70000e-02   1.36983e-02   3.75053e+02   3.75000e+02
            28   2.80000e-02   1.35742e-02   3.75053e+02   3.75000e+02
            29   2.90000e-02   1.34221e-02   3.75053e+02   3.75000e+02
            30   3.00000e-02   1.33073e-02   3.75054e+02   3.75000e+02
            31   3.10000e-02   1.31908e-02   3.75054e+02   3.75000e+02
            32   3.20000e-02   1.30899e-02   3.75054e+02   3.75000e+02
            33   3.30000e-02   1.31322e-02   3.75054e+02   3.75000e+02
            34   3.40000e-02   1.34663e-02   3.75054e+02   3.75000e+02
            35   3.50000e-02   1.34727e-02   3.75054e+02   3.75000e+02
            36   3.60000e-02   1.33167e-02   3.75055e+02   3.75000e+02
            37   3.70000e-02   1.34296e-02   3.75053e+02   3.75000e+02
            38   3.80000e-02   1.34057e-02   3.75055e+02   3.75000e+02
            39   3.90000e-02   1.31552e-02   3.75053e+02   3.75000e+02
            40   4.00000e-02   1.30763e-02   3.75054e+02   3.75000e+02
            41   4.10000e-02   1.31861e-02   3.75054e+02   3.75000e+02
            42   4.20000e-02   1.32759e-02   3.75054e+02   3.75000e+02
            43   4.30000e-02   1.33196e-02   3.75054e+02   3.75000e+02
            44   4.40000e-02   1.34729e-02   3.75054e+02   3.75000e+02
            45   4.50000e-02   1.34508e-02   3.75055e+02   3.75000e+02
            46   4.60000e-02   1.31068e-02   3.75054e+02   3.75000e+02
            47   4.70000e-02   1.29867e-02   3.75055e+02   3.75000e+02
            48   4.80000e-02   1.31250e-02   3.75054e+02   3.75000e+02
            49   4.90000e-02   1.31892e-02   3.75055e+02   3.75000e+02
            50   5.00000e-02   1.33793e-02   3.75055e+02   3.75000e+02
            51   5.10000e-02   1.32384e-02   3.75056e+02   3.75000e+02
            52   5.20000e-02   1.31147e-02   3.75054e+02   3.75000e+02
            53   5.30000e-02   1.33308e-02   3.75056e+02   3.75000e+02
            54   5.40000e-02   1.36373e-02   3.75055e+02   3.75000e+02
            55   5.50000e-02   1.35720e-02   3.75055e+02   3.75000e+02
            56   5.60000e-02   1.35933e-02   3.75055e+02   3.75000e+02
            57   5.70000e-02   1.34383e-02   3.75055e+02   3.75000e+02
            58   5.80000e-02   1.32869e-02   3.75055e+02   3.75000e+02
            59   5.90000e-02   1.32339e-02   3.75055e+02   3.75000e+02
            60   6.00000e-02   1.32975e-02   3.75055e+02   3.75000e+02
            61   6.10000e-02   1.31955e-02   3.75055e+02   3.75000e+02
            62   6.20000e-02   1.30695e-02   3.75055e+02   3.75000e+02
            63   6.30000e-02   1.29655e-02   3.75056e+02   3.75000e+02
            64   6.40000e-02   1.31749e-02   3.75056e+02   3.75000e+02
            65   6.50000e-02   1.31987e-02   3.75055e+02   3.75000e+02
            66   6.60000e-02   1.31256e-02   3.75055e+02   3.75000e+02
            67   6.70000e-02   1.28922e-02   3.75055e+02   3.75000e+02
            68   6.80000e-02   1.27723e-02   3.75055e+02   3.75000e+02
            69   6.90000e-02   1.30764e-02   3.75056e+02   3.75000e+02
            70   7.00000e-02   1.32551e-02   3.75055e+02   3.75000e+02
            71   7.10000e-02   1.31963e-02   3.75056e+02   3.75000e+02
            72   7.20000e-02   1.30268e-02   3.75056e+02   3.75000e+02
