         Index             t      Heatflow            Ts            Tr
           [#]             [s]             [mW]          [°C]          [°C]
             0   0.00000e+00   1.41365e-03   3.90138e+01   4.00000e+01
             1   1.00000e-04   1.42257e-03   3.90153e+01   4.00500e+01
             2   2.00000e-04   1.45156e-03   3.90153e+01   4.01000e+01
             3   3.00000e-04   1.57174e-03   3.90168e+01   4.01500e+01
             4   4.00000e-04   1.76032e-03   3.90230e+01   4.02000e+01
             5   5.00000e-04   1.97954e-03   3.90322e+01   4.02500e+01
             6   6.00000e-04   2.17115e-03   3.90322e+01   4.03000e+01
             7   7.00000e-04   2.33369e-03   3.90507e+01   4.03500e+01
             8   8.00000e-04   2.41233e-03   3.90583e+01   4.04000e+01
             9   9.00000e-04   2.42092e-03   3.90814e+01   4.04500e+01
            10   1.00000e-03   2.32706e-03   3.91029e+01   4.05000e+01
            11   1.10000e-03   2.20763e-03   3.91306e+01   4.05500e+01
            12   1.20000e-03   2.06153e-03   3.91567e+01   4.06000e+01
            13   1.30000e-03   1.83393e-03   3.91828e+01   4.06500e+01
            14   1.40000e-03   1.61272e-03   3.92197e+01   4.07000e+01
            15   1.50000e-03   1.34038e-03   3.92505e+01   4.07500e+01
            16   1.60000e-03   1.02082e-03   3.92827e+01   4.08000e+01
            17   1.70000e-03   6.81106e-04   3.93211e+01   4.08500e+01
            18   1.80000e-03   2.63149e-04   3.93595e+01   4.09000e+01
            19   1.90000e-03  -1.87537e-04   3.94010e+01   4.09500e+01
            20   2.00000e-03  -6.77146e-04   3.94455e+01   4.10000e+01
            21   2.10000e-03  -1.21709e-03   3.94793e+01   4.10500e+01
            22   2.20000e-03  -1.80426e-03   3.95208e+01   4.11000e+01
            23   2.30000e-03  -2.45067e-03   3.95653e+01   4.11500e+01
            24   2.40000e-03  -3.14303e-03   3.96052e+01   4.12000e+01
            25   2.50000e-03  -3.85784e-03   3.96513e+01   4.12500e+01
            26   2.60000e-03  -4.63229e-03   3.96988e+01   4.13000e+01
            27   2.70000e-03  -5.42517e-03   3.97418e+01   4.13500e+01
            28   2.80000e-03  -6.27613e-03   3.97909e+01   4.14000e+01
            29   2.90000e-03  -7.17054e-03   3.98323e+01   4.14500e+01
            30   3.00000e-03  -8.11360e-03   3.98799e+01   4.15000e+01
